open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.51476E+12,2018-01-01 07:00:00,13715.65,13715.65,13155.38,13410.03,1676.204807,1.51478E+12,2018-01-01 11:00:00
1.51478E+12,2018-01-01 11:00:00,13434.98,13818.55,13322.15,13570.35,1302.214836,1.51479E+12,2018-01-01 15:00:00
1.51479E+12,2018-01-01 15:00:00,13569.98,13735.24,13001.13,13220.56,1319.755931,1.51481E+12,2018-01-01 19:00:00
1.51481E+12,2018-01-01 19:00:00,13220.56,13330,12750,13247,1831.933153,1.51482E+12,2018-01-01 23:00:00
1.51482E+12,2018-01-01 23:00:00,13247,13290.65,12940,13240.37,1092.337234,1.51484E+12,2018-01-02 03:00:00
1.51484E+12,2018-01-02 03:00:00,13222.03,13599.7,13222.03,13380,1387.469883,1.51485E+12,2018-01-02 07:00:00
1.51485E+12,2018-01-02 07:00:00,13382.16,13850,13231.96,13353.78,2365.532926,1.51487E+12,2018-01-02 11:00:00
1.51487E+12,2018-01-02 11:00:00,13353.78,13480.84,12890.02,13343,2980.316053,1.51488E+12,2018-01-02 15:00:00
1.51488E+12,2018-01-02 15:00:00,13343.01,13617.28,13302.59,13490,2596.182674,1.51489E+12,2018-01-02 19:00:00
1.51489E+12,2018-01-02 19:00:00,13490,13894.86,13450.46,13690.03,3365.879508,1.51491E+12,2018-01-02 23:00:00
1.51491E+12,2018-01-02 23:00:00,13690.02,15473.49,13503,14732.75,5090.273483,1.51492E+12,2018-01-03 03:00:00
1.51492E+12,2018-01-03 03:00:00,14710.02,15160.31,14544,14675.11,3679.907467,1.51494E+12,2018-01-03 07:00:00
1.51494E+12,2018-01-03 07:00:00,14690,15299.99,14660,14818.49,3303.83359,1.51495E+12,2018-01-03 11:00:00
1.51495E+12,2018-01-03 11:00:00,14805.81,15307.56,14795.05,15170,3211.702067,1.51497E+12,2018-01-03 15:00:00
1.51497E+12,2018-01-03 15:00:00,15170,15172.99,14150,14730.05,4202.802942,1.51498E+12,2018-01-03 19:00:00
1.51498E+12,2018-01-03 19:00:00,14764.73,15045.51,14400.04,15033.77,2082.734125,1.515E+12,2018-01-03 23:00:00
1.515E+12,2018-01-03 23:00:00,15045,15130,14671,14700.01,1659.697353,1.51501E+12,2018-01-04 03:00:00
1.51501E+12,2018-01-04 03:00:00,14700.01,14990,14683,14919.51,1444.897562,1.51502E+12,2018-01-04 07:00:00
1.51502E+12,2018-01-04 07:00:00,14919.51,15280,14649.99,15119.97,3062.535646,1.51503E+12,2018-01-04 10:00:15
1.51504E+12,2018-01-04 11:00:00,15119.97,15119.97,14685,14748,2839.900442,1.51505E+12,2018-01-04 15:00:00
1.51505E+12,2018-01-04 15:00:00,14734.07,14800,13918.04,14539.97,4339.552051,1.51507E+12,2018-01-04 19:00:00
1.51507E+12,2018-01-04 19:00:00,14539.99,14653.4,14181.88,14353.01,3960.831185,1.51508E+12,2018-01-04 23:00:00
1.51508E+12,2018-01-04 23:00:00,14367.99,14988,14238.01,14895.19,3636.616126,1.5151E+12,2018-01-05 03:00:00
1.5151E+12,2018-01-05 03:00:00,14905,15100.08,14601,15059.54,3490.214124,1.51511E+12,2018-01-05 07:00:00
1.51511E+12,2018-01-05 07:00:00,15059.56,15200,14642,14965.37,3624.97469,1.51512E+12,2018-01-05 11:00:00
1.51512E+12,2018-01-05 11:00:00,14970,15083.63,14600,14920.14,3434.498779,1.51514E+12,2018-01-05 15:00:00
