open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.51476E+12,2018-01-01 07:00:00,13715.65,13818.55,13001.13,13220.56,4298.175574,1.51481E+12,2018-01-01 19:00:00
1.51481E+12,2018-01-01 19:00:00,13220.56,13599.7,12750,13380,4311.74027,1.51485E+12,2018-01-02 07:00:00
1.51485E+12,2018-01-02 07:00:00,13382.16,13850,12890.02,13490,7942.031653,1.51489E+12,2018-01-02 19:00:00
1.51489E+12,2018-01-02 19:00:00,13490,15473.49,13450.46,14675.11,12136.06046,1.51494E+12,2018-01-03 07:00:00
1.51494E+12,2018-01-03 07:00:00,14690,15307.56,14150,14730.05,10718.3386,1.51498E+12,2018-01-03 19:00:00
1.51498E+12,2018-01-03 19:00:00,14764.73,15130,14400.04,14919.51,5187.32904,1.51502E+12,2018-01-04 07:00:00
1.51502E+12,2018-01-04 07:00:00,14919.51,15280,13918.04,14539.97,10241.98814,1.51507E+12,2018-01-04 19:00:00
1.51507E+12,2018-01-04 19:00:00,14539.99,15100.08,14181.88,15059.54,11087.66144,1.51511E+12,2018-01-05 07:00:00
1.51511E+12,2018-01-05 07:00:00,15059.56,16350,14600,16090.69,11294.79823,1.51515E+12,2018-01-05 19:00:00
1.51515E+12,2018-01-05 19:00:00,16090.7,17176.24,15750,16960.39,11956.69289,1.5152E+12,2018-01-06 07:00:00
1.5152E+12,2018-01-06 07:00:00,16960.39,17099.99,16288,16529.89,8981.698935,1.51524E+12,2018-01-06 19:00:00
1.51524E+12,2018-01-06 19:00:00,16505.16,17143.13,16011.21,17069.79,9589.758573,1.51528E+12,2018-01-07 07:00:00
1.51528E+12,2018-01-07 07:00:00,17069.79,17099.96,16400,16607,7403.574371,1.51533E+12,2018-01-07 19:00:00
1.51533E+12,2018-01-07 19:00:00,16611,16649.05,15610,16150.03,5089.551187,1.51537E+12,2018-01-08 07:00:00
1.51537E+12,2018-01-08 07:00:00,16218.85,16322.3,14551,15400,11135.48796,1.51541E+12,2018-01-08 19:00:00
1.51541E+12,2018-01-08 19:00:00,15414,15499,12812,14902.54,15465.12196,1.51546E+12,2018-01-09 07:00:00
1.51546E+12,2018-01-09 07:00:00,14902.54,15500,14170.33,14726,6915.746339,1.5155E+12,2018-01-09 19:00:00
1.5155E+12,2018-01-09 19:00:00,14726,14998.62,14011.05,14400,7399.257914,1.51554E+12,2018-01-10 07:00:00
1.51554E+12,2018-01-10 07:00:00,14401,14480,13131.31,13919.08,10480.79485,1.51559E+12,2018-01-10 19:00:00
1.51559E+12,2018-01-10 19:00:00,13919.09,14955.66,13500,14907.09,6930.206804,1.51563E+12,2018-01-11 07:00:00
1.51563E+12,2018-01-11 07:00:00,14940,14968.68,11400,13385.1,21529.06521,1.51567E+12,2018-01-11 19:00:00
1.51567E+12,2018-01-11 19:00:00,13385.1,14400,12511,13238.78,12025.65854,1.51572E+12,2018-01-12 07:00:00
1.51572E+12,2018-01-12 07:00:00,13238.76,14109.78,12500,13900.02,9484.14553,1.51576E+12,2018-01-12 19:00:00
1.51576E+12,2018-01-12 19:00:00,13900.02,14059.48,13222,13740.01,6933.016607,1.5158E+12,2018-01-13 07:00:00
1.5158E+12,2018-01-13 07:00:00,13749.95,14320,13706.15,14178,6634.900254,1.51584E+12,2018-01-13 19:00:00
1.51584E+12,2018-01-13 19:00:00,14166,14580,13923.18,14210,5586.608274,1.51589E+12,2018-01-14 07:00:00
1.51589E+12,2018-01-14 07:00:00,14210,14339.5,13120,13280.15,6730.424273,1.51593E+12,2018-01-14 19:00:00
1.51593E+12,2018-01-14 19:00:00,13280.16,13600.8,12569.2,13474.99,10287.47006,1.51597E+12,2018-01-15 07:00:00
1.51597E+12,2018-01-15 07:00:00,13477.98,13740.27,13147.79,13644.9,7164.920931,1.51602E+12,2018-01-15 19:00:00
1.51602E+12,2018-01-15 19:00:00,13645,14249.99,13340.64,13539.93,7487.173774,1.51606E+12,2018-01-16 07:00:00
1.51606E+12,2018-01-16 07:00:00,13500,13542.93,10620.88,12127.16,27884.80373,1.5161E+12,2018-01-16 19:00:00
1.5161E+12,2018-01-16 19:00:00,12140,12200,9035,10900,35516.36544,1.51615E+12,2018-01-17 07:00:00
1.51615E+12,2018-01-17 07:00:00,10899.99,11488.88,9587.99,9808.14,30824.33376,1.51619E+12,2018-01-17 19:00:00
1.51619E+12,2018-01-17 19:00:00,9850.76,11680.99,9037.94,10988.79,41507.46288,1.51623E+12,2018-01-18 07:00:00
1.51623E+12,2018-01-18 07:00:00,10972.59,11600,10435.33,11413.78,24374.24458,1.51628E+12,2018-01-18 19:00:00
1.51628E+12,2018-01-18 19:00:00,11413.78,11878.82,10635.3,10961.97,24090.19036,1.51632E+12,2018-01-19 07:00:00
1.51632E+12,2018-01-19 07:00:00,10960,11596,10360,11530.22,19618.52998,1.51636E+12,2018-01-19 19:00:00
1.51636E+12,2018-01-19 19:00:00,11535.18,11795,11003,11474.98,14510.84544,1.51641E+12,2018-01-20 07:00:00
1.51641E+12,2018-01-20 07:00:00,11474.98,12869,11412.45,12320.01,17827.41066,1.51645E+12,2018-01-20 19:00:00
1.51645E+12,2018-01-20 19:00:00,12320.05,13099,12240.24,12799.94,10941.44717,1.51649E+12,2018-01-21 07:00:00
